Dos. nr.;DossierStatus;Boekingsdatum;Vertrekdatum;Volledige naam klant;Bestemming;ArticlePoNummer;Artikelcode;Omschrijving;Artikelprijs;Totaal dossier
2974;Ok;01.04.2017 00:00:00;30.07.2017 00:00:00;0817a295d8f0dbad;Frankrijk Elzas;;62fdd307d11ab2a3;Paardrijweek a la carte halfpension 5 rijeenheden;1.845,00;1.725,00
2974;Ok;01.04.2017 00:00:00;30.07.2017 00:00:00;0817a295d8f0dbad;Frankrijk Elzas;;62fdd307d11ab2a3;Kinderkorting;-120,00;1.725,00
2999;Ok;26.04.2017 13:01:06;13.05.2017 00:00:00;f069501af8862602;Spanje Andalusie;;2c9cbe413e395d82;Kastelentocht Andalusie 6 dgn / 5 nachten - 4 dagen paardrijden;1.920,00;2.323,40
2999;Ok;26.04.2017 13:01:06;13.05.2017 00:00:00;f069501af8862602;Spanje Andalusie;;3422a6eed1d46140;Toeslag Hotel Patricia per nacht;60,00;2.323,40
2999;Ok;26.04.2017 13:01:06;13.05.2017 00:00:00;f069501af8862602;Spanje Andalusie;;0451659e61d12353;Verzameltransfer ter plaatse te betalen;0,00;2.323,40
2999;Ok;26.04.2017 13:01:06;13.05.2017 00:00:00;f069501af8862602;Spanje Andalusie;;80bc09dbf4c10c25;Terugkeer korting;-100,00;2.323,40
2999;Ok;26.04.2017 13:01:06;13.05.2017 00:00:00;f069501af8862602;Spanje Andalusie;;;Vlucht Amsterdam - Malaga;418,40;2.323,40
2999;Ok;26.04.2017 13:01:06;13.05.2017 00:00:00;f069501af8862602;Spanje Andalusie;;;Reserveringskosten;25,00;2.323,40
3000;Ok;25.04.2017 00:00:00;18.07.2017 00:00:00;32fe67c29b6e3945;Spanje Andalusie;;1ca68a17c69932dc;Paardrijweek Andalusie 5 dgn / 4 nachten kind - 1 kind gratis;1.890,00;3.350,00
3000;Ok;25.04.2017 00:00:00;18.07.2017 00:00:00;32fe67c29b6e3945;Spanje Andalusie;;718247bb4a0635d5;NIet Ruiter halfpension;760,00;3.350,00
3002;Ok;19.04.2017 00:00:00;05.08.2017 00:00:00;f58cbb41de0eeab2;Zeesterrenrit: Platteland en strand op Sardinie;;5cfd2a6cdad580c6;Zeesterren rit verlengd 9 tochten a 3 uur halfpension;2.988,00;3.125,46
3002;Ok;19.04.2017 00:00:00;05.08.2017 00:00:00;f58cbb41de0eeab2;Zeesterrenrit: Platteland en strand op Sardinie;;1f5324d93d081e6e;Annuleringsverzekering;134,46;3.125,46
3002;Ok;19.04.2017 00:00:00;05.08.2017 00:00:00;f58cbb41de0eeab2;Zeesterrenrit: Platteland en strand op Sardinie;;0a40ba0908143439;Poliskosten;3,00;3.125,46
2780;Ok;19.01.2017 00:00:00;22.05.2017 00:00:00;7e63b74f6feaec7c;Een authentieke working ranch in het wilde westen;;dd0f956a680fecf3;Verzameltransfer $ 100,- retour per auto;91,70;2.681,70
3003;Ok;23.04.2017 00:00:00;22.06.2017 00:00:00;eeadbe45c42c7055;Heerlijk paardrijden in de Spaanse Pyreneeën;;9700e99b03fa4fe3;Shortbreak 3 dagen paardrijden Pyreneeen;1.040,00;1.040,00
3005;Ok;25.04.2017 00:00:00;30.04.2017 00:00:00;069d9c94ab5581e1;Trektocht Montagnes et Legendes in de Elzas (sterritten voor gevorderden);;62fdd307d11ab2a3;Sterritten voor Gevorderden;1.870,00;1.870,00
3005;Ok;25.04.2017 00:00:00;30.04.2017 00:00:00;069d9c94ab5581e1;Trektocht Montagnes et Legendes in de Elzas (sterritten voor gevorderden);;82c41a5ec203b09b;Totale reissom ter plaatse bij aankomst te betalen;0,00;1.870,00
2400;Ok;01.04.2016 00:00:00;05.05.2017 00:00:00;b3b2aaf2dbd8a88e;Weekend paardrijden in de regio van Durbuy in de Ardennen;;6dc37ffccd8f8373;Kort weekend  Pittige ritten wijziging;790,00;790,00
3006;Ok;17.04.2017 00:00:00;09.07.2017 00:00:00;94b8dc491a8f8fc1;Zomerkamp Spaans leren en paardrijden in de Pyreneeën;;9dc22f3ff00c0a41;Lijnvlucht Amsterdam - Parijs - Pau incl telsag onbegeleid, excl ruimbagage;350,00;1.650,00
3006;Ok;17.04.2017 00:00:00;09.07.2017 00:00:00;94b8dc491a8f8fc1;Zomerkamp Spaans leren en paardrijden in de Pyreneeën;;fb6cff73f197d34e;Reserveringskosten vlucht;25,00;1.650,00
3007;Ok;20.04.2017 00:00:00;28.10.2017 00:00:00;51ba6656c9b9c8d4;Ervaar fascinerend Zuid-Afrika te paard in een Big Five reservaat;;64d71e394283209d;Verzameltransfer luchthaven - Safari retour;160,00;3.345,00
3007;Ok;20.04.2017 00:00:00;28.10.2017 00:00:00;51ba6656c9b9c8d4;Ervaar fascinerend Zuid-Afrika te paard in een Big Five reservaat;;9dc22f3ff00c0a41;Lijnvlucht Iberia Johannesburg incl 1 koffer ruimbagage;685,00;3.345,00
3008;Ok;20.04.2017 00:00:00;28.10.2017 00:00:00;fa2f87c74326c767;Ervaar fascinerend Zuid-Afrika te paard in een Big Five reservaat;;64d71e394283209d;Verzameltransfer luchthaven - Safari retour;160,00;3.498,53
3008;Ok;20.04.2017 00:00:00;28.10.2017 00:00:00;fa2f87c74326c767;Ervaar fascinerend Zuid-Afrika te paard in een Big Five reservaat;;9dc22f3ff00c0a41;Lijnvlucht Iberia Johannesburg incl 1 koffer ruimbagage;685,00;3.498,53
3008;Ok;20.04.2017 00:00:00;28.10.2017 00:00:00;fa2f87c74326c767;Ervaar fascinerend Zuid-Afrika te paard in een Big Five reservaat;;1f5324d93d081e6e;Annuleringsverzekering;150,53;3.498,53
3008;Ok;20.04.2017 00:00:00;28.10.2017 00:00:00;fa2f87c74326c767;Ervaar fascinerend Zuid-Afrika te paard in een Big Five reservaat;;0a40ba0908143439;Poliskosten;3,00;3.498,53
3009;Ok;24.04.2017 00:00:00;26.05.2017 00:00:00;b45d2fca66a7db41;Een Western ranch net over de grens in Duitsland;;ada22b8f9419284e;Weekend Westernranch;255,00;294,50
3009;Ok;24.04.2017 00:00:00;26.05.2017 00:00:00;b45d2fca66a7db41;Een Western ranch net over de grens in Duitsland;;1076a44263007de3;Eenpersoonskamertoeslag  per nacht;20,00;294,50
3009;Ok;24.04.2017 00:00:00;26.05.2017 00:00:00;b45d2fca66a7db41;Een Western ranch net over de grens in Duitsland;;aea26b5756bd0feb;Combinatieverzekering ;16,50;294,50
3009;Ok;24.04.2017 00:00:00;26.05.2017 00:00:00;b45d2fca66a7db41;Een Western ranch net over de grens in Duitsland;;0a40ba0908143439;Poliskosten;3,00;294,50
3010;Ok;15.04.2017 00:00:00;02.09.2017 00:00:00;f34194df0ca0a00b;Spanje Andalusie;;98dad74da47465ea;Gratis extra dag standplaats;0,00;2.300,00
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;d41369e2b657e919;Ranchweek 7 nachten USD 1470,-20% korting;1.078,00;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;9430cfe44164fb1a;Beurskorting;-107,80;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;a088bbfd67893ffa;Verzameltransfer USD 150,-;137,50;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;42069dd6c9288514;Lokale belastingen USD 23,10;21,00;3.003,59
3011;Ok;18.04.2017 00:00:00;26.05.2017 00:00:00;40a25e57c6b93767;Ranchleven in Crook Country Wyoming;;9dc22f3ff00c0a41;Lijnvlucht KLM Amsterdam - Rapid City incl 1 koffer ruimbagage;985,00;3.003,59
